,rates
AED,4.15775
AFN,116.887574
ALL,120.575466
AMD,557.93692
ANG,2.041862
AOA,638.761218
ARS,115.853584
AUD,1.563669
AWG,2.037501
AZN,1.927261
BAM,1.955994
BBD,2.287493
BDT,97.110066
BGN,1.956109
BHD,0.426764
BIF,2259.099556
BMD,1.131945
BND,1.536165
BOB,7.822458
BRL,6.420957
BSD,1.132945
BTC,2.2274977e-05
BTN,84.969646
BWP,13.165889
BYN,2.853516
BYR,22186.125748
BZD,2.283633
CAD,1.449728
CDF,2266.154302
CHF,1.040671
CLF,0.035502
CLP,979.607739
CNY,7.20981
COP,4518.159231
CRC,728.09339
CUC,1.131945
CUP,29.996548
CVE,110.274274
CZK,25.023011
DJF,201.68587
DKK,7.435918
DOP,64.656293
DZD,157.16563
EGP,17.781843
ERN,16.979266
ETB,55.969279
EUR,1.0
FJD,2.398254
FKP,0.853916
GBP,0.844001
GEL,3.475611
GGP,0.853916
GHS,6.995488
GIP,0.853916
GMD,59.483623
GNF,10717.711439
GTQ,8.745835
GYD,237.089938
HKD,8.828165
HNL,27.786564
HRK,7.512155
HTG,113.77962
HUF,369.817989
IDR,16093.996729
ILS,3.568355
IMP,0.853916
INR,84.918997
IQD,1653.319036
IRR,47824.68414
ISK,147.19797
JEP,0.853916
JMD,174.210345
JOD,0.802538
JPY,129.515468
KES,128.124934
KGS,95.976385
KHR,4614.595735
KMF,492.820606
KPW,1018.750584
KRW,1342.238065
KWD,0.342549
KYD,0.944079
KZT,491.041294
LAK,12641.444838
LBP,1713.049995
LKR,229.414386
LRD,162.236038
LSL,17.568005
LTL,3.34234
LVL,0.684702
LYD,5.205868
MAD,10.487582
MDL,20.19439
MGA,4497.716909
MKD,61.620182
MMK,2014.341474
MNT,3235.534763
MOP,9.100565
MRO,404.104239
MUR,49.46818
MVR,17.488834
MWK,918.858859
MXN,23.35135
MYR,4.744551
MZN,72.252171
NAD,17.567883
NGN,465.614402
NIO,40.112031
NOK,10.012819
NPR,135.957439
NZD,1.659075
OMR,0.435846
PAB,1.132895
PEN,4.537482
PGK,3.978798
PHP,56.676432
PKR,202.227139
PLN,4.627788
PYG,7721.990477
QAR,4.12142
RON,4.949656
RSD,117.602279
RUB,83.159146
RWF,1174.870697
SAR,4.251469
SBD,9.165572
SCR,15.056264
SDG,495.228282
SEK,10.319554
SGD,1.535486
SHP,1.559136
SLL,12830.598663
SOS,663.319623
SRD,23.280731
STD,23428.98007
SVC,9.912834
SYP,2844.004124
SZL,17.604558
THB,37.914486
TJS,12.777757
TMT,3.961808
TND,3.251513
TOP,2.578854
TRY,12.46493
TTD,7.702148
TWD,31.3705
TZS,2603.473713
UAH,30.836455
UGX,4010.33725
USD,1.131945
UYU,50.2586
UZS,12233.048741
VEF,242044091911.7681
VND,25830.989263
VUV,128.195796
WST,2.943251
XAF,656.041148
XAG,0.04945
XAU,0.000625
XCD,3.059139
XDR,0.809504
XOF,656.041148
XPF,119.929429
YER,283.268764
ZAR,17.590204
ZMK,10188.866166
ZMW,18.722015
ZWL,364.48589
